ID,Kategori,Gelir,Gider,Kar,Memnuniyet
1,D,5099.0,8392.0,1369.0,5
2,E,8278.0,8986.0,3730.0,5
3,C,2200.0,6353.0,-1738.0,3
4,E,7959.0,5779.0,,4
5,E,6875.0,1663.0,4287.0,1
6,B,,2998.0,4489.0,5
7,C,5104.0,8994.0,-1377.0,5
8,C,9215.0,4445.0,-984.0,1
9,C,6598.0,4743.0,1643.0,5
10,E,4454.0,6727.0,2976.0,3
11,D,5645.0,2495.0,49.0,4
12,C,7847.0,4304.0,3423.0,1
13,E,2804.0,4763.0,4397.0,4
14,B,8242.0,6232.0,1723.0,5
15,D,,,2548.0,5
16,B,7991.0,6616.0,1108.0,1
17,D,4773.0,7585.0,3279.0,3
18,E,3570.0,5659.0,2090.0,2
19,A,7056.0,2291.0,56.0,1
20,D,9906.0,4581.0,1170.0,2
21,B,8756.0,8974.0,-318.0,2
22,E,7581.0,4457.0,4959.0,3
23,D,4690.0,8554.0,255.0,2
24,A,5840.0,8280.0,-846.0,2
25,A,3028.0,2636.0,2499.0,3
26,C,9385.0,4696.0,4295.0,2
27,C,2502.0,3999.0,4197.0,2
28,B,8910.0,4152.0,1191.0,2
29,D,6493.0,1698.0,-304.0,1
30,D,,3160.0,1991.0,1
31,C,8938.0,5097.0,2723.0,1
32,D,6488.0,5737.0,2682.0,3
33,D,2206.0,7363.0,-352.0,5
34,A,7134.0,,3539.0,2
35,C,7977.0,1854.0,-555.0,2
36,E,,6855.0,2199.0,3
37,C,9035.0,8392.0,1923.0,2
38,E,3484.0,7528.0,-1747.0,1
39,A,9858.0,4474.0,1183.0,5
40,B,9742.0,6757.0,557.0,4
41,D,,6249.0,3592.0,2
42,A,4790.0,6172.0,,1
43,D,9408.0,2707.0,200.0,4
44,B,2563.0,3777.0,3980.0,5
45,B,7116.0,6791.0,961.0,4
46,A,6191.0,2733.0,4015.0,1
47,B,8019.0,6535.0,2973.0,4
48,E,3757.0,,2433.0,3
49,B,8628.0,5931.0,1777.0,4
50,D,9574.0,4510.0,869.0,2
51,D,8374.0,1202.0,,2
52,D,8892.0,4255.0,,3
53,D,,5218.0,-1044.0,1
54,E,5242.0,5496.0,3800.0,2
55,C,6636.0,,2067.0,5
56,A,3059.0,,-1840.0,2
57,D,8668.0,3327.0,3699.0,2
58,B,7279.0,3931.0,4944.0,1
59,D,,8777.0,2493.0,4
60,B,5314.0,,-700.0,2
61,B,5157.0,8125.0,2911.0,3
62,D,7915.0,2930.0,,4
63,E,4625.0,,-473.0,5
64,B,4729.0,,4015.0,1
65,B,8700.0,,3511.0,5
66,D,3597.0,1608.0,,4
67,B,5060.0,4272.0,-782.0,4
68,B,4693.0,2147.0,2496.0,4
69,D,6891.0,5282.0,2735.0,5
70,D,7147.0,,1104.0,4
71,A,7739.0,3511.0,735.0,5
72,E,5627.0,8516.0,2555.0,4
73,E,3363.0,2794.0,-1046.0,3
74,B,9965.0,1659.0,2565.0,4
75,E,3981.0,3811.0,1446.0,5
76,B,7450.0,8098.0,,2
77,A,3663.0,7051.0,4893.0,4
78,D,3529.0,7546.0,,2
79,D,4038.0,2369.0,4181.0,3
80,D,9515.0,2986.0,4373.0,1
81,E,7592.0,6630.0,1436.0,3
82,A,5302.0,1146.0,,4
83,E,4237.0,4219.0,485.0,2
84,E,9392.0,3911.0,3895.0,2
85,A,,2734.0,1354.0,5
86,A,7496.0,2843.0,4170.0,2
87,A,3306.0,1488.0,-1775.0,5
88,A,6029.0,3976.0,2893.0,1
89,D,8776.0,2959.0,4427.0,4
90,C,4675.0,6759.0,-1041.0,5
91,C,7068.0,7694.0,3600.0,1
92,A,7864.0,3385.0,2548.0,2
93,C,3282.0,3919.0,,2
94,C,9526.0,5736.0,-1185.0,1
95,A,,2802.0,2754.0,2
96,C,7575.0,7616.0,2642.0,1
97,E,,7065.0,3311.0,5
98,B,6744.0,7294.0,1120.0,5
99,B,6413.0,6534.0,-1984.0,1
100,A,5748.0,5061.0,-757.0,5
